"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2","New Blog Post: 101 Numpy Exercises for Data Analysis #Python #DataScience #rstats https://t.co/5mJ2o7gt8Q https://t.co/5IagHwU6pQ",FALSE,106,NA,2018-02-26 20:16:30,FALSE,NA,"968218235265990657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",50,FALSE,FALSE,NA,NA
"45","Pleased to announce our task based ""Introduction to R Programming"" .... https://t.co/3awr5cCN2N #rstats #datascience https://t.co/t30DBPhxc9",FALSE,121,NA,2016-07-28 14:22:44,FALSE,NA,"758669020803440640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",50,FALSE,FALSE,NA,NA
"20","R Tip: ROC Curves in R and Python explained! #rstats #python #DataScience https://t.co/t1z3WMLIfJ https://t.co/wxL71KWCqb",FALSE,83,NA,2017-04-24 16:06:22,FALSE,NA,"856539823766720514",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",49,FALSE,FALSE,NA,NA
"23","Plots resource: A Compendium of Clean R Graphs! https://t.co/yCESNgmAUR #rstats",FALSE,87,NA,2017-04-04 04:44:24,FALSE,NA,"849120442937991168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",49,FALSE,FALSE,NA,NA
"68","R Tip: A better way to make new column in a data.table when colname must be a string #rstats #datascience @daroczig https://t.co/dUggCgYbjs",FALSE,66,NA,2016-03-19 11:45:50,FALSE,NA,"711156726280495105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",49,FALSE,FALSE,NA,NA
"50","R Tip: How to shade the area below the line in R base graphics? See pic. #rstats #DataScience https://t.co/Eg3Vd9TuXl",FALSE,64,NA,2016-07-20 12:45:59,FALSE,NA,"755745568949874688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",47,FALSE,FALSE,NA,NA
"61","A book packed with a lot of useful code and best practices by @daroczig https://t.co/BqqF1CdAlF #rstats #datascience https://t.co/oiz39sIAkZ",FALSE,94,NA,2016-04-04 06:01:48,FALSE,NA,"716868350383501313",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",45,FALSE,FALSE,NA,NA
"167","R jumps to 6th spot (from 9th last year) in IEEE's top ten languages
http://t.co/LKTIEEnqMv … #rstats #datascience http://t.co/f7Gd9KiCrV",FALSE,35,NA,2015-07-25 15:17:55,FALSE,NA,"624961787109113856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",45,FALSE,FALSE,NA,NA
"180","R Tip: 'seq' can even create a sequence of custom dates. See pic: #rstats #datascience http://t.co/3B4tjqHGWh",FALSE,57,NA,2015-07-08 02:52:01,FALSE,NA,"618613479130316800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",44,FALSE,FALSE,NA,NA
"291","A step-by-step illustrative example to implement decision trees with R. 
http://t.co/8ebr1jM1FR #rstats #datascience http://t.co/ocG2SCv3vO",FALSE,78,NA,2014-12-26 12:07:33,FALSE,NA,"548450038771249153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",44,FALSE,FALSE,NA,NA
"42","R Tip: It's a good idea to create a README file (from R) whenever you store any data to disk. #rstats #datascience https://t.co/zocdzywCAn",FALSE,62,NA,2016-08-29 15:05:05,FALSE,NA,"770276089746690048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",42,FALSE,FALSE,NA,NA
"138","R Tip: Use append() to append items to a vector. It makes code more readable! See pic:  #rstats #datascience http://t.co/gytpFKU7Jk",FALSE,53,NA,2015-08-31 10:09:33,FALSE,NA,"638292531655086080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",42,FALSE,FALSE,NA,NA
"320","Free R Course For Beginners: Crisp videos with simple &amp; crystal clear explanations. http://t.co/LvkwTBSTIz #rstats #datascience",FALSE,64,NA,2014-11-08 06:37:48,FALSE,NA,"530972434803875840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",42,FALSE,FALSE,NA,NA
